,Tên,Đánh giá,Vị trí,Chất lượng,Phục vụ,Không gian,Lượt đánh giá,Giá cả,Mở cửa,Vị trí chi tiết,Vị trí khu vực,Ở gần,Chỉ đường,Website,Sức chứa,Giờ nhận khách cuối,Thể loại,Thích hợp,CUISINES,Thời gian chuẩn bị,PURPOSES,Phục vụ các món,Nghỉ lễ,Năm thành lập
0,McDonald's Đa Kao,7.2,7.6,7.3,7.1,6.5,623,"50,000đ - 200,000đ",00:01 - 23:59,"2 - 6 Bis Điện Biên Phủ , Quận 1 , TP. HCM",Bờ Kè Thị Nghè,Vòng xoay Điện Biên Phủ - Nguyễn Bỉnh Khiêm,Nằm ngay gần vòng xoay Điện Biên Phủ - Nguyễn Bỉnh Khiêm,,60 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối, Buổi khuya","Mỹ, Châu Mỹ",Khoảng 10 - 15 phút,"Ăn gia đình, Họp nhóm, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
1,McDonald's Ben Thanh,7.3,7.9,7.2,7.2,6.5,376,"50,000đ - 200,000đ",00:01 - 23:59,"2-2A Trần Hưng Đạo, P. Bến Thành , Quận 1 , TP. HCM",Phố Tây Phạm Ngũ Lão,Ngã 3 Trần Hưng Đạo - Phạm Ngũ Lão,Ngã 3 Trần Hưng Đạo - Phạm Ngũ Lão,,200 người lớn (Có chỗ cho trẻ em),,"Nhà hàng, Café/Dessert","Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 10 - 15 phút,"Ăn gia đình, Họp nhóm, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
2,McDonald's Phu Lam,7.3,7.8,7.4,7.2,6.4,101,"30,000đ - 80,000đ",07:00 - 23:00,"718Bis Kinh Dương Vương, P. 13 , Quận 6 , TP. HCM",Vòng xoay An Lạc,Galaxy Kinh Dương Vương,Ngã ba Kinh Dương Vương và Đường Số 6,,50 người lớn,22:30,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Âu,Khoảng 7 - 10 phút,"Họp nhóm, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
3,McDonald's Go Vap,7.3,7.8,7.4,7.3,6.4,90,"50,000đ - 100,000đ",08:00 - 23:00,"1 Quang Trung, P. 3 , Quận Gò Vấp , TP. HCM",Ngã 6 Gò Vấp,Cảng Hàng Không Quốc Tế Tân Sơn Nhất,"Đầu đường Quang Trung, gần vòng xoay Ngã 6 Gò Vấp",,60 người lớn,22:30,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối, Buổi khuya","Mỹ, Châu Mỹ",Khoảng 5 - 15 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
4,McDonald's Vivo,7.1,7.4,7.1,7.0,6.7,70,"30,000đ - 300,000đ",09:00 - 22:00,"Tầng 1, Tầng 1 - SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong , Quận 7 , TP. HCM",SC VivoCity,Fivimax Nguyễn Văn Linh,Ngay trung tâm thương mại SC VivoCity,,150 người lớn,21:30,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Quốc tế,Khoảng 5 - 15 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Ăn Fastfood","Gà rán, Hamburger, Thịt Bò, Hải sản, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2015
5,McDonald's Nguyen Hue,7.4,8.1,7.4,7.1,6.9,115,"25,000đ - 80,000đ",00:01 - 23:59,"123 - 125 Nguyễn Huệ, P. Bến Nghé , Quận 1 , TP. HCM",Bitexco Tower,Phố Đi Bộ,Cách ngã ba Nguyễn Huệ - Tôn Thất Thiệp khoảng 100m,www.mcdonalds.vn,40 người lớn,,"Nhà hàng, Café/Dessert","Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Âu,Khoảng 5 - 7 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Takeaway - Mang về, Ăn Fastfood","Gà rán, Hamburger, Thịt Bò, Hải sản, Bánh - Kẹo, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
6,McDonald’s Vincom Masteri,7.6,7.8,7.7,7.5,7.2,36,"20,000đ - 250,000đ",07:00 - 12:00,"Tầng 1, L1-11,12,13, TTTM Vincom Masteri, 159 Xa Lộ Hà Nội, P. Thảo Điền , Tp. Thủ Đức , TP. HCM",Thảo Điền,Vincom Mega Mall Thảo Điền,Lầu 1 Vincom Mega Mall Thảo Điền,,50 người lớn,21:30,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 7 phút,"Ăn gia đình, Hẹn hò, Ăn vặt","Gà rán, Hamburger, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
7,McDonald’s Saigon Supermarket,6.7,7.1,6.7,6.4,6.2,84,"30,000đ - 100,000đ",07:00 - 23:00,"Siêu Thị Sài Gòn, 460 Đường 3 Tháng 2, P. 12 , Quận 10 , TP. HCM",Ngã Bảy Lý Thái Tổ,Siêu Thị Sài Gòn,Nằm ngay ngã 3 đường Thành Thái - 3 Tháng 2,,100 người lớn,12:00 AM,Quán ăn,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối, Buổi khuya","Mỹ, Châu Mỹ",Khoảng 5 - 7 phút,"Hẹn hò, Họp nhóm, Ăn vặt, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Café - Kem, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
8,McDonald's - Saigon Centre,7.1,7.6,7.0,6.9,6.8,46,"50,000đ - 200,000đ","09:30 - 21:30
09:30 - 21:30","Saigon Centre, 65 Lê Lợi, P. Bến Nghé , Quận 1 , TP. HCM",Chợ Bến Thành,Chùa Ấn Giáo,Nằm bên trong Saigon Centre.,www.mcdonalds.vn,50 người lớn,09:30 PM,Quán ăn,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 7 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm","Thịt Gà, Thịt Bò, Hải sản, Café - Kem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
9,McDonald's Tân Sơn Nhất,7.2,7.5,7.3,7.2,6.8,45,"30,000đ - 80,000đ",10:00 - 22:00,"Ga Quốc Nội Sân Bay Tân Sơn Nhất, Trường Sơn, P. 2 , Quận Tân Bình , TP. HCM",Trường Sơn - Sân Bay,Sân Bay Tân Sơn Nhất,Nằm ngay nhà để xe Ga Quốc Nội Sân Bay Tân Sơn Nhất,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối, Buổi khuya","Mỹ, Châu Mỹ",Khoảng 7 - 10 phút,"Hẹn hò, Họp nhóm, Ăn vặt, Takeaway - Mang về, Ăn Fastfood","Gà rán, Hamburger, Thịt Bò, Hải sản, Café - Kem, Sinh tố - Nước ép, Thức uống, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
