,Tên,Đánh giá,Vị trí,Chất lượng,Phục vụ,Không gian,Lượt đánh giá,Giá cả,Mở cửa,Vị trí chi tiết,Vị trí khu vực,Ở gần,Chỉ đường,Website,Sức chứa,Giờ nhận khách cuối,Thể loại,Thích hợp,CUISINES,Thời gian chuẩn bị,PURPOSES,Phục vụ các món,Nghỉ lễ,Năm thành lập
0,Lotteria - Trần Hưng Đạo,6.8,7.3,6.7,6.6,6.3,221,"30,000đ - 77,000đ",09:00 - 23:00,"95A Trần Hưng Đạo , Quận 1 , TP. HCM",Chợ Bến Thành,Trường THPT Ernst Thalmann,Ngay ngã 4 Trần Hưng Đạo - Nguyễn Thái Học,www.lotteria.vn,100 người lớn (Có chỗ cho trẻ em),10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Takeaway - Mang về, Nghe nhạc, Đọc sách - học bài","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2004
1,Lotteria - CoopMart Đinh Tiên Hoàng,6.9,7.4,7.0,6.6,6.4,25,"30,000đ - 77,000đ",09:00 - 21:30,"127 Đinh Tiên Hoàng , Quận Bình Thạnh , TP. HCM",Chợ Bà Chiểu,Lăng Ông Bà Chiểu,Trong siêu thị Coopmart Đinh Tiên Hoàng,www.lotteria.vn,100 người lớn (Có chỗ cho trẻ em),10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Takeaway - Mang về","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2004
2,Lotteria - Nguyễn Đình Chiểu CoopMart,6.4,6.8,6.3,6.3,6.0,31,"30,000đ - 77,000đ",09:00 - 23:00,"168 Nguyễn Đình Chiểu , Quận 3 , TP. HCM",Bảo Tàng Chiến Tranh,Ngã 4 Nguyễn Đình Chiểu - Nam Kỳ Khởi Nghĩa,Trong siêu thị Coopmart Nguyễn Đình Chiểu,www.lotteria.vn,100 người lớn (Có chỗ cho trẻ em),10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Takeaway - Mang về, Nghe nhạc, Đọc sách - học bài","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2004
3,Lotteria - Phú Mỹ Hưng,6.9,7.3,7.0,6.7,6.3,24,"30,000đ - 77,000đ",09:00 - 23:00,"SB2-1 Mỹ Khánh 2 , Quận 7 , TP. HCM",Phú Mỹ Hưng,Cầu Ánh Sao,"Qua cầu Tư Dinh, đi thẳng Nguyễn Văn Linh khoảng 500m",www.lotteria.vn,50 người lớn (Có chỗ cho trẻ em),10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Takeaway - Mang về, Nghe nhạc, Đọc sách - học bài","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2004
4,Lotteria - Tô Hiến Thành,6.3,6.8,6.4,6.2,5.6,174,"30,000đ - 77,000đ",09:00 - 23:00,"307A Tô Hiến Thành , Quận 10 , TP. HCM",Big C Miền Đông,Siêu thị Big C Miền Đông,Ngã 4 Tô Hiến Thành - Sư Vạn Hạnh,,100 người lớn (Có chỗ cho trẻ em),10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Nghe nhạc, Đọc sách - học bài","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2004
5,Lotteria - Xô Viết Nghệ Tĩnh,5.9,6.5,5.8,5.6,5.5,49,"30,000đ - 77,000đ",09:00 - 23:00,"222A Xô Viết Nghệ Tĩnh, P. 21 , Quận Bình Thạnh , TP. HCM",Vòng Xoay Hàng Xanh,Chung cư Mỹ Đức,"Từ vòng xoay Hàng Xanh đi thẳng XVNT(hướng về quận 1) khoảng 200m, nhìn tay trái. Quán nằm đối diện trường tiểu học Hồng Hà.",www.lotteria.vn,100 người lớn,10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối, Buổi khuya","Món Á, Món Hàn",Khoảng 5 - 7 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Ngắm cảnh, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2012
6,Lotteria - Cộng Hòa,6.2,6.9,6.2,6.1,5.7,43,"30,000đ - 77,000đ",09:00 - 23:00,"165 Cộng Hòa, P. 13 , Quận Tân Bình , TP. HCM",Chợ Hoàng Hoa Thám,Chợ Hoàng Hoa Thám,Góc ngã 4 Cộng Hoà - Hoàng Hoa Thám,www.lotteria.vn,100 người lớn (Có chỗ cho trẻ em),10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Takeaway - Mang về, Nghe nhạc, Đọc sách - học bài, Ăn Fastfood","Thịt Gà, Tôm, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2012
7,Lotteria - Bình Phú,6.1,6.8,6.2,5.9,5.2,33,"30,000đ - 110,000đ",09:00 - 22:00,"211 - 213 Bình Phú, P. 11 , Quận 6 , TP. HCM",Bình Phú,Metro Bình Phú,Từ góc đường Hậu Giang - Bình Phú đi thẳng Bình Phú về hướng Lý Chiêu Hoàng khoảng 100m,,60 người lớn (Có chỗ cho trẻ em),09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 3 - 5 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Tiếp khách, Takeaway - Mang về","Thịt Gà, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
8,Lotteria - Bình Tân CoopMart,6.5,7.3,6.6,6.4,5.9,7,"30,000đ - 77,000đ",08:00 - 22:00,"158 Đường Số 19, P. Bình Trị Đông , Quận Bình Tân , TP. HCM",Bình Trị Đông,Coopmart Bình Tân,Quán nằm đối diện siêu thị Co.opmart Bình Tân,,70 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,Khoảng 3 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn vặt, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Cơm, Cá/bò viên, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
9,Lotteria - HTV,6.5,7.1,6.5,6.2,5.8,48,"30,000đ - 77,000đ",09:00 - 23:00,"11Bis Nguyễn Thị Minh Khai, P. Bến Nghé , Quận 1 , TP. HCM",Đài Truyền Hình,Ngã tư Đinh Tiên Hoàng - Nguyễn Thị Minh Khai,Ngay cạnh ngã tư Đinh Tiên Hoàng - Nguyễn Thị Minh Khai,www.lotteria.vn,100 người lớn (Có chỗ cho trẻ em),10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Nghe nhạc","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2004
