,Địa điểm,Tên người dùng,Liên kết,Đánh giá chung,Ngày đánh giá,Tiêu đề,Nội dung
0,McDonald's Đa Kao,Quỳnh Nguyễn,https://www.foody.vn/thanh-vien/nguyenquynh23680634,4.2,23/09/2022 ,THẤT VỌNG,"21h30...2 đứa nhỏ kêu đói, sau 1 hồi bình loạn là chốt McDonal! Đang háo hức vì 2 đứa nó vừa ăn vừa khen lấy khen để, vậy mà nỡ lòng nào đến lượt mình nó lại thành ra thế này😭😭😭Cơm sống toàn tập, ăn cơm mà cứ như nhai gạo...ức chịu ko nổi😤😤😤"
1,McDonald's Đa Kao,Tien Le,https://www.foody.vn/thanh-vien/le.h.ttien,7.4,15/09/2022 ,Ăn ok,"Nay có khuyến mại mua 1 tặng 1 trà kem sữa.
Uống ok, đồ ăn thì khá"
2,McDonald's Đa Kao,Anna,https://www.foody.vn/thanh-vien/foodee_eshl3dtp,1.0,04/07/2022 ,Tức ko ngủ nổi,"Thề lâu lắm rồi t mới tức giận ntn . T có xem quảng cáo rồi đặt mua 2 phần happy meal để lấy minion . Vậy mà háo hức rồi khi ship tới nhận được 2 cuốn truyện . 2 cuốn truyện đó ạ ??? . Nhà t thiếu truyện hay gì ?? . Mà đã note lại là Xin hãy cho tôi minion rồi . Nếu không có thì nhân viên phải gọi báo cho khách huỷ đơn giùm chứ ?? . Đây là hành động ko tôn trọng khách hàng . Nếu khách bấm huỷ đơn thì ko bị ảnh hưởng tới điểm vận hành trên app đâuuu. Nhưng không , nhân viên kệ khách luôn. Cho đồ chơi gì là phải nhận kệ mày vì tiền mày chứ tiền tao đâu đúng ko ??? . Vậy nên 1 sao này là bạn xứng đáng nhé !!! . Đêm hôm rồi mà cứ như gặp phải lừa đảo . Quá bực mình !"
3,McDonald's Đa Kao,Đinh Thuỵ Bích Vân,https://www.foody.vn/thanh-vien/vanonclouds.foodie,10,25/06/2022 ,Ăn trộm của khách hàng,"Nếu đây là lần đầu bạn đến 4P thì nên thử 𝗛𝗮𝗹𝗳&𝗛𝗮𝗹𝗳: 𝗣𝗶𝘇𝘇𝗮 𝟰 𝗰𝗵𝗲𝗲𝘀𝗲 & 𝗣𝗶𝘇𝘇𝗮 𝗴𝗮̀ 𝘁𝗲𝗿𝗶𝘆𝗮𝗸𝗶 (vì vị dễ ăn), 𝗠𝗶̀ 𝗰𝘂𝗮 thần thánh (must-try), 𝗦𝗮𝗹𝗮𝗱 𝘁𝗿𝗮́𝗶 𝗰𝗮̂𝘆 𝗻𝗵𝗶𝗲̣̂𝘁 đ𝗼̛́𝗶 + 𝗽𝗵𝗼̂ 𝗺𝗮𝗶 𝗕𝘂𝗿𝗿𝗮𝘁𝗮 & 𝘁𝗵𝗶̣𝘁 𝗻𝗴𝘂𝗼̣̂𝗶 , đồ ăn ở 4P theo mình thì sẽ hơi kén người ăn và nếu ăn lần đầu có thể sẽ thấy không ngon miệng, nhưng ai mà ăn quen rồi thì đảm bảo sẽ nghiện nha 😁

📍𝐏𝐢𝐳𝐳𝐚 𝟒𝐏’𝐬 𝐁𝐞𝐧 𝐓𝐡𝐚𝐧𝐡 𝐌𝐚𝐫𝐤𝐞𝐭
Số 8*** P. Bến Thành, Q.1,***⏰ 11:00AM - 00:00AM

#anuongsaigon #pizza4ps #pizza"
4,McDonald's Đa Kao,Huyen Nguyen,https://www.foody.vn/thanh-vien/foodee_9smugvqq,1.0,10/06/2022 ,Dởm 🙂,"Đặt giao combo C add thêm phô mai :15k - tính tiền đầy đủ. Nhận món thì không thấy đâu.
Làm ăn như trộm cắp. Lấy của mỗi khách hàng 15k mà ko cung cấp đúng đủ món thì chỉ là phường trộm cướp."
5,McDonald's Đa Kao,B Mai Luu,https://www.foody.vn/thanh-vien/lbmai1410,5.6,19/03/2022 ,Nhân viên thái độ với khách hàng,"Hic phần cơm Mc Donald nó dở:((( nên ăn khoai tây, chicken nugget và kem là ngon . Những món khác thấy k ổn"
6,McDonald's Đa Kao,Quyết,https://www.foody.vn/thanh-vien/foodee_szapxhtm,1.0,26/01/2022 ,Nhân viên phục vụ tệ,Dởm🙂
7,McDonald's Đa Kao,Tín Nguyễn,https://www.foody.vn/thanh-vien/bexudieu12310,4.2,10/06/2021 ,Kém...!!!,"Mình tới đây vào lúc 6h tối ngày 10/6 . Bạn nhân viên order có thái độ khó chịu ra mặt với khách.
Bạn mình ko ăn được dưa leo . Mình có dặn ko bỏ leo. Bạn nhân viên nge ko kỹ mình đành phải nói lại thì bạn nhăn nhó lườm khách hàng ."
8,McDonald's Đa Kao,Dung1972,https://www.foody.vn/thanh-vien/Dung1972,1.0,19/05/2021 ,Gà rán ngon nên thử.,"Sáng nay 19/5/2021, tôi đã ghé McDonald's Đakao 2 lần theo hướng Drive through, cả 2 lần nhân viên đều không hỏi order. Tôi đứng gần 5 phút, sau đó lên tiếng hỏi hôm nay nhà hàng có bán không, nhân viên hỏi có order chưa? Ủa không ai lên tiếng sao tôi biết có người không mà gọi món. Xong, lại im lặng, tôi chịu không được nên rời đi, ngang cửa thu ngân, nhân viên đó nhìn ra hỏi ủa không order hả chị? Không em, nay nhà hàng nghỉ thì thôi chị không order nữa. Đến trưa tôi quay lại lần nữa cũng vậy.
Thiết nghĩ, nhà hàng nên cử người trực chứ vì Drive through khách đâu biết có nhân viên hay không.
Và thái độ nhân viên trực***sáng nay quá tệ."
9,McDonald's Đa Kao,My Do Hieu,https://www.foody.vn/thanh-vien/quocbinhdong,3.4,24/04/2021 ,McDonald's - Đa Kao,"Giao thiếu gà... ( và khi nhờ Chị NV giao hàng check lại Mc... thì bảo giao đủ...) bo tay.
Mọi người nhớ kiểm tra trước khi nhận nhé. Tks"
10,McDonald's Đa Kao,Tina Nguyễn,https://www.foody.vn/thanh-vien/nguyentien83,7.8,13/01/2021 ,McDonald's Đa Kao,"Mình đi với đứa bạn , dùng tại chỗ
- 2 burger cá chỉ 46k ( Burger day mua 1 tặng 1 trên app ) cảm nhận rất mau ngán , không hấp dẫn lắm.
- thêm combo 86k cũng trên app ( mở ứng dụng của McDonalds và ra quầy thanh toán nhận món ) giá hời hơn nhiều nếu mua lẻ trực tiếp từng món : 2 miếng gà rán , khoai tây lắc , ly nước ngọt và ly kem sundae. Mọi thứ tụi mình ăn đều ok nha.
- sau đó mình mua lẻ 1 miếng gà cay 36k và cây kem tươi 10k nữa. Quá xá no.

1 bữa cuối tuần no nê vui vẻ và hài lòng."
11,McDonald's Đa Kao,Trần Hạnh,https://www.foody.vn/thanh-vien/hong_hanh4321,7.0,02/01/2021 ,Chuyên hambuger mà chán ghê,Ok
12,McDonald's Đa Kao,Vân Vân,https://www.foody.vn/thanh-vien/yenkim.kulkul,1.0,14/12/2020 ,Bực mình,"Ăn tại chỗ không sao , đặt về là y bài , đã note cho ít ức thôi lần nào cũng toàn ức ăn nuốt không nổi luôn"
13,McDonald's Đa Kao,Mỹ Phạm,https://www.foody.vn/thanh-vien/yuuljn.phammy,6.8,14/12/2020 ,Giao thiếu đồ,"Càng ngày chất lượng càng chán. Đặt 2 combo 168k mà dc mỗi li nước ngon, còn buger nhỏ như bánh tiêu, là hai miếng bánh kẹp lát bò bằm mỏng dính, lại còn không có rau cà chua gì."
14,McDonald's Đa Kao,Vân Vân,https://www.foody.vn/thanh-vien/yenkim.kulkul,1.0,11/12/2020 ,McDonald's Đa Kao,Đặt phần 3 miếng cho 3 cái ứng nuốt ko nổi luôn . Bị cái gì vậy ? Không tự điều chỉnh được để nói hoài v
15,McDonald's Đa Kao,Michelle Phung,https://www.foody.vn/thanh-vien/michellephungtd,1.0,29/10/2020 ,Tệ,Ai mua drive through nhớ kiểm tra đồ trước khi về nhé. Mình tính kiểm tra mà nhân viên nói chị yên tâm em để đủ rồi và hối mình đi cho lẹ. Về nhà mở ra thấy giao thiếu phần khoai tây chiên. Tức mà không làm gì được!!
16,McDonald's Đa Kao,Tuấn Bảo,https://www.foody.vn/thanh-vien/chocola_bi,8.0,26/10/2020 ,???? Tệ,"Thương hiệu fastfood nhẵn mặt với team mê gà rán và khoai tây. Gà rán giòn tan, mình ăn ít bị dầu nhiều nên ít ngấy. Thịt gà mềm thơm chấm thêm tương của McDonald's nữa bao đã. Đặt trên Now thì thấy ưu đãi rẻ hú hồn ông địa 1 Gà Rán + 1 Coca-Cola size M mà có 10k thôi ý. Chưa hết còn có các combo giảm đến 40% thế là đại hội gà rán không bị xót cái ví yêu dấu nè. Mà thích cái combo nào cũng có thêm Coca nữa, ăn gà uống xí nước mới đã làm sao."
17,McDonald's Đa Kao,Vân Vân,https://www.foody.vn/thanh-vien/yenkim.kulkul,1.0,19/10/2020 ,Tệ,Đặt gà ko cay giao cay ? Nhân viên bị gì ?
18,McDonald's Đa Kao,Vân Vân,https://www.foody.vn/thanh-vien/yenkim.kulkul,1.0,19/10/2020 ,"SAI HÀNG Ở DRIVE THRU, HÀNG GIAO KÉM HƠN SO VỚI TIỀN TRẢ","Nhân viên nay bị cái gì vậy ? Đặt gà không cay cho bé ăn mà giao gà cay , cho 2 gói tương ớt 8 gói tương cà???? Làm ăn kiểu tào lao vưaf thôi nha"
19,McDonald's Đa Kao,Bạch Tuộc,https://www.foody.vn/thanh-vien/Vansalem,1.2,29/09/2020 ,~ Burger Phở ~,Đã note ít ức rồi vẫn cho nhiều ức . Đặt nhiều gà mà cho 2 gói tương ớt ?
20,McDonald's Đa Kao,Tuấn Việt Trần,https://www.foody.vn/thanh-vien/foodee_s8ysnc52,5.6,30/08/2020 ,Gà rán siêu ngon siêu chất lượng,"Mình rõ ràng đặt là 2 hamburger phở 138k rồi sau đó đưa nhân viên cả bill mới nhận mà khi về mới phát hiện ra chỉ có 1 hamburger phở và 1 burger gì đó có 1 mẩu chưa kể so với tại chỗ, burger phở nhìn cũng tệ hơn (mình đi rất cẩn thận nr6n ko thể nào là do cầm hàng hàng được). Do đã từng ăn tại chỗ thấy dc nên mình cho 5.6 sao."
21,McDonald's Đa Kao,Kuran Trang,https://www.foody.vn/thanh-vien/trang.kuran,8.0,18/08/2020 ,Gà rán chất lượng.,"Burger Phở - Vỏ bánh hơi khô, không phải vỏ burger truyền thống. Sốt đậm mùi phở như phở ăn liền Vifon vậy. Nói chung là ăn cho vui thui chứ mình không ham :))))~

Ngoài ra thử đồ uống mới: Trà dứa... nhạt nhẽo vì quá ít cốt trà, mùi dứa nhân tạo giống kẹo với thạch

Gà cay + khoai tây chiên vẫn ngon, giòn rụm như mọi khi"
22,McDonald's Đa Kao,Xan Khả,https://www.foody.vn/thanh-vien/tudyatn,8.6,29/07/2020 ,McDonald's Đa Kao,"Gà rất ngon, tươi, rất giòn và rất rất nóng, đùi cánh hay ức đều rất to. Ăn 2 lần đều chất lượng, những thương hiệu gà khác mình ăn họ đã chiên gà sẵn, sau đó để vào lò vi sóng quay lại, gà giao tới nơi thì không còn nóng mà rất bở.
Sẽ ăn ở Mcdonal's dài dài 🙆‍♀️🙆‍♀️🙆‍♀️"
23,McDonald's Đa Kao,Tina Nguyễn,https://www.foody.vn/thanh-vien/nguyentien83,8.4,23/07/2020 ,McDonald's Đa Kao,"Không gian thoáng và sáng sủa , rộng rải , có nhiều khu vực ngồi. Trên lầu có khu vui chơi cho trẻ em nhưng sàn hơi rít có rác ( kiểu ít vệ sinh kỹ ) , có nhà vệ sinh rộng và sạch đẹp.

Nhân viên phục vụ hơi nguyên tắc , thái độ không tệ nhưng lại không dễ tính như nhân viên ở Bến.Thành hoặc Nguyễn.Huệ ...

Gà rán ít mỡ , rất giòn , thịt thấm vị , thơm ngon.
Burger gà rán thì không ngon bằng chi nhánh khác , ăn mau ngán bởi lớp nhân chưa xuất sắc.
Các loại tương sốt chấm ngon bá chấy.

Sân để xe 2 bánh và 4 bánh rộng thoải mái."
