,Địa điểm,Tên người dùng,Liên kết,Đánh giá chung,Ngày đánh giá,Tiêu đề,Nội dung
0,Lotteria - Trần Hưng Đạo,Thuỳ Nguyễn,https://www.foody.vn/thanh-vien/Thuy1510,1.0,01/03/2022 ,Mac sale,"Mình mua khá nhiều món vì mã sale khá lớn. Đáng lẽ thứ 2 đầu tuần là gì cũng mới chứ, nhưng không gặp phải gà cũ và thất vọng tràn trề . Mốt bán không hết để ăn đi nè . Buông bán như cqq đi tong đầu tuần tươi đẹpp"
1,Lotteria - Trần Hưng Đạo,Tina Nguyễn,https://www.foody.vn/thanh-vien/nguyentien83,7.6,20/03/2021 ,Ăn tại quán.,"Bữa mình chở con ra đây dùng cơm trưa cũng đợt gần Tết. Không gian khá vắng vì ngay dịch nên đa số mua online hoặc mua về thôi.
Bàn ghế thì sạch sẽ , không khí lạnh , ánh sáng tốt nên ăn tại quán cũng thoải mái.
Nhân viên phục vụ hơi lâu nhưng cuối cùng món ăn không được nóng giòn , gà mau nguội lạnh nên mau ngán , thịt ít , cơm không được dẻo mềm , còn vị sốt đậu thì ok.
Nhân viên gửi xe nhiệt tình và vui tính , dắt xe sẵn cho khách."
2,Lotteria - Trần Hưng Đạo,Trâm Thảo,https://www.foody.vn/thanh-vien/foodee_sah96ys0,7.0,04/03/2021 ,Lotteria -***,Lotteria.
3,Lotteria - Trần Hưng Đạo,Minnie Pham,https://www.foody.vn/thanh-vien/minnieprt,7.0,26/02/2021 ,Không mua lại,Gà phô mai ngon
4,Lotteria - Trần Hưng Đạo,Chang,https://www.foody.vn/thanh-vien/vivvv,2.6,22/01/2021 ,"Lên Now đặt món dắt bé Doraemon bông về , xinh xỉu.",Mua 2 combo 4 miếng gà thiếu 2 miếng. Lấy mã giảm giá 40k lỗ đúng 40k. Không phải t đang bận t lên thẳng quán chửi rồi.
5,Lotteria - Trần Hưng Đạo,Tuan Nguyen,https://www.foody.vn/thanh-vien/votuananhne1,6.4,11/01/2021 ,Lotteria -***,Ngon
6,Lotteria - Trần Hưng Đạo,Tina Nguyễn,https://www.foody.vn/thanh-vien/nguyentien83,7.8,07/01/2021 ,Lotteria - Trần Hưng Đạo,"Đợt cuối năm 2020 mình order combo 169k để được bé Doraemon tặng con trai mình.
Ship về nhanh gọn , đồ ăn nóng hổi sạch sẽ , giao đúng và đủ.
Bé Doraemon thú bông nhìn cưng lắm nhưng mình thấy màu hồng là xinh hơn màu xanh lá nên chỉ đặt 1 combo thôi.
Chất lượng đồ ăn từ burger bò 2 lớp , mỳ ý , gà rán đều chưa ngon như mong đợi , ăn chán lắm luôn ... khoai tây lắc phô mai thì còn tạm ổn , nhâm nhi 2 ly nước ngọt cùng với cái bánh táo lấy lại tinh thần ^^"
7,Lotteria - Trần Hưng Đạo,Nguyễn Hà,https://www.foody.vn/thanh-vien/su.noble,7.0,18/11/2020 ,Lotteria -***,Cá ngon
8,Lotteria - Trần Hưng Đạo,🌿 Biboaa,https://www.foody.vn/thanh-vien/biboaa_0706,7.4,13/11/2020 ,Lotteria -***,"(+) Hương vị: ok. Mình thích gà Lotteria vì không quá khô, và sốt lạ và vừa miệng. Order món mới CHICKEN SET GÀ KIM SA gà thịt chín vẫn giữa được độ mịn, da giòn tẩm sốt vị khá mặn nhé, hậu vị ngọt nhẹ, có thêm ít chà bông rắc lên cảm giác cắn lạ lạ, khoai tây chiên mới nóng và giòn.
(+) Giá cả: ổn so với mấy quán cùng loại.
(+) Không gian: ngay góc đường, phủ cửa kính hết tạo cảm giác mở dễ chịu, mát mẻ, sạch.
(-) Dịch vụ: nhân viên thân thiện, nhanh (tầm 10h sáng nên vắng). Giữ xe trước quán và không có thẻ nên hơi lo xí.
Tip: Chicken set Gà kim sa Free Upsize nước + khoai tây"
9,Lotteria - Trần Hưng Đạo,Thu Phạm,https://www.foody.vn/thanh-vien/thupham6951,7.2,01/11/2020 ,Lotteria -***,Gà ổn
10,Lotteria - Trần Hưng Đạo,myachan,https://www.foody.vn/thanh-vien/myachan,8.0,12/10/2020 ,Lotteria -***,Lotteria - Trần Hưng Đạo
11,Lotteria - Trần Hưng Đạo,Ha Kiet,https://www.foody.vn/thanh-vien/foodee_8kxk1jhd,9.0,30/08/2020 ,Ngon.,"1 túi gà lắc phô mai 43 nghìn đồng 😂 nhìn hình mình tưởng nhiều lắm í. Mình định mua về ăn chung vs cơm mà lúc đưa ra cái bịch nhỏ xíu haha đúng là hình ảnh chỉ mang tính chất minh hoạ :)))) bịch này cỡ maays cục thôi có bịch phô mai cho mình tự lắc nữa nha :)))) lắc đưefu r mà ăn vị phô mai nhạt nhoà lắm hichic. Thích k gian ở đây thôi chứ gà bán mắc quá hiuhiu. Gà ngon thật, order làm nóng hổi lun nhé. Chuẩn bị món cũng nhanh 👌🏻👌🏻👌🏻👌🏻"
12,Lotteria - Trần Hưng Đạo,Bé Mèo,https://www.foody.vn/thanh-vien/foodee_7qohb4p2,9.4,30/08/2020 ,Ngon.,"Gà 3 miếng rán giá 99 nghìn 3 miếng gà rán k vị nha. Mình định gọi 3 miếng ức nhưng quen mất tiêu. C nhân viên láy 3 loại luôn cánh đùi ức :))) ăn đã luôn. Nhân viên lịch sự, làm đồ ăn nhanh nhẹn chuỷen nghiệp dù quán khá đông nha
Không gian rộng rãi thoải mái sáng sủa view cửa kính nhìn đẹp lắm nha. Đối diện phúc long luôn á 🤣 nhà vệ sinh sạch sẽ, wifi tàm tạm thôi k làm việc ở đây được mạng k mạnh đau hic
Vị trí trung tâm dễ tìm nha"
