,Tên,Đánh giá,Vị trí,Chất lượng,Phục vụ,Không gian,Lượt đánh giá,Giá cả,Mở cửa,Vị trí chi tiết,Vị trí khu vực,Ở gần,Chỉ đường,Website,Sức chứa,Giờ nhận khách cuối,Thể loại,Thích hợp,CUISINES,Thời gian chuẩn bị,PURPOSES,Phục vụ các món,Nghỉ lễ,Năm thành lập
0,Gà Rán KFC - Bà Hom,7.1,7.5,7.2,6.9,6.8,31,"30,000đ - 88,000đ",09:00 - 22:00,"95 Bà Hom, P. 13 , Quận 6 , TP. HCM",Vòng xoay Phú Lâm,Vòng xoay Phú Lâm,"Đi từ vòng xoay Phú Lâm đến ngã tư Bà Hom - Đặng Nguyên Cẩn, ngay góc ngã tư",www.kfcvietnam.com.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
1,Gà Rán KFC - Phú Mỹ Hưng,6.3,6.8,6.1,6.0,5.8,27,"30,000đ - 88,000đ",09:00 - 22:00,"S41 - 1 Bùi Bằng Đoàn, P. Tân Phong , Quận 7 , TP. HCM",Phú Mỹ Hưng,Ngã 4 Nguyễn Văn Linh - Bùi Bằng Đoàn,Cách ngã 4 Nguyễn Văn Linh khoảng 100m.,www.kfcvietnam.com.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
2,Gà Rán KFC - Lotte Mart Nam Sài Gòn,6.9,7.3,6.8,6.7,6.7,56,"30,000đ - 88,000đ",09:00 - 22:00,"Tầng 3, Tầng 3 Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng , Quận 7 , TP. HCM",Lotte Mart,Lotte Mart Nam Sài Gòn,Ngay ngã tư Nguyễn Thị Thập - Nguyễn Hữu Thọ,www.kfcvietnam.com.vn,80 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
3,Gà Rán KFC - Crescent Mall,7.1,7.4,7.0,7.0,6.9,51,"30,000đ - 88,000đ",09:00 - 22:00,"Tầng 5, Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú , Quận 7 , TP. HCM",Phú Mỹ Hưng,Cầu Ánh Sao,Nằm ở tầng 5 trung tâm thương mại Cresent Mall.,www.kfcvietnam.com.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
4,Gà Rán KFC - Bến Xóm Củi,6.5,7.1,6.5,6.1,5.8,13,"30,000đ - 88,000đ",09:00 - 22:00,"48 - 50 Cần Giuộc, P. 13 , Quận 8 , TP. HCM",Xóm Củi,Cầu Chà Và,Nằm ngay chân cầu Chà Và.,www.kfcvietnam.com.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
5,Gà Rán KFC - Vincom Maximark Cộng Hòa,7.0,7.3,7.0,6.8,6.8,44,"30,000đ - 88,000đ",09:00 - 22:00,"15 - 17 Cộng Hòa, P. 4 , Quận Tân Bình , TP. HCM",Lăng Cha Cả,Ngã 3 Út Tịch,Trong siêu thị Vincom Maximark Cộng Hòa.,www.kfcvietnam.com.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
6,Gà Rán KFC - Nguyễn Sơn,4.8,5.2,4.9,4.4,4.3,27,"30,000đ - 88,000đ",09:00 - 22:00,"111 Nguyễn Sơn, P. Phú Thạnh , Quận Tân Phú , TP. HCM",Phú Thạnh,Big C Phú Thạnh,Cách BigC Phú Thạnh khoảng 100m hướng về chợ Tân Phú.,www.kfcvietnam.com.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
7,Gà Rán KFC - Tân Sơn Nhì,5.9,6.3,6.1,5.6,5.4,31,"50,000đ - 165,000đ",09:00 - 22:00,"76-78 Tân Sơn Nhì, P. Tân Sơn Nhì , Quận Tân Phú , TP. HCM",Tân Sơn Nhì,,,www.kfcvietnam.com.vn,100 người lớn (Có chỗ cho trẻ em),10:45 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2012
8,Gà Rán KFC - Võ Văn Ngân,6.5,7.1,6.6,6.1,6.0,53,"30,000đ - 88,000đ",09:00 - 22:00,"251 Võ Văn Ngân, P. Linh Chiểu , Tp. Thủ Đức , TP. HCM",Bình Thọ,Nhà Thiếu Nhi Thủ Đức,Nằm ngay góc đường số 10 và Võ Văn Ngân.,www.kfcvietnam.com.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
9,Gà Rán KFC - Xô Viết Nghệ Tĩnh,6.2,6.6,6.3,6.1,5.8,79,"50,000đ - 165,000đ",09:00 - 22:00,"195 Xô Viết Nghệ Tĩnh, P. 17 , Quận Bình Thạnh , TP. HCM",Vòng Xoay Hàng Xanh,Vòng xoay Hàng Xanh,Cách vòng xoay Hàng Xanh khoảng 50m.,www.kfcvietnam.com.vn,100 người lớn (Có chỗ cho trẻ em),,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Mỹ, Châu Mỹ",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2012
