,Tên,Đánh giá,Vị trí,Chất lượng,Phục vụ,Không gian,Lượt đánh giá,Giá cả,Mở cửa,Vị trí chi tiết,Vị trí khu vực,Ở gần,Chỉ đường,Website,Sức chứa,Giờ nhận khách cuối,Thể loại,Thích hợp,CUISINES,Thời gian chuẩn bị,PURPOSES,Phục vụ các món,Nghỉ lễ,Năm thành lập
0,Gà rán và Mì Ý - Jollibee - Trần Hưng Đạo - HCM,6.9,7.3,6.9,6.8,6.4,144,"15,000đ - 44,000đ",09:00 - 22:00,"354 - 356 Trần Hưng Đạo, P. 2 , Quận 5 , TP. HCM",Chợ An Đông,Cao đẳng Kinh tế Đối ngoại,"Bùng binh Nguyễn Thị Minh Khai - Nguyễn Văn Cừ, chạy thẳng Nguyễn Văn Cừ, đến ngã tư Nguyễn văn Cừ - Trần Hưng Đạo. Quán nằm ngay ngã tư, bên tay phải.",,150 người lớn (Có chỗ cho trẻ em),09:30 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 2 - 3 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2007
1,Gà rán và Mì Ý - Jollibee - Coop Mart Xa Lộ Hà Nội,6.8,7.1,6.9,6.6,6.4,48,"15,000đ - 50,000đ",09:00 - 22:00,"Tầng Trệt Coop Mart, 191 Quang Trung, P. Hiệp Phú , Tp. Thủ Đức , TP. HCM",Ngã 4 Thủ Đức,Siêu Thị Coop Mart,"Đi thẳng Xa Lộ Hà Nội, hướng về Thủ Đức, nằm ngay tầng 2 siêu thị Coop Mart",,100 người lớn,08:30 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 3 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2010
2,Gà rán và Mì Ý - Jollibee - Pasteur,6.8,7.2,6.8,6.6,6.6,113,"15,000đ - 44,000đ",09:00 - 22:00,"194D Pasteur, P. 6 , Quận 3 , TP. HCM",Hồ Con Rùa,Đại học Kiến Trúc,Ngay ngã tư Võ Văn Tần - Pasteur.,www.jollibee.com.vn,100 người lớn,09:30 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 5 - 7 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2010
3,Gà rán và Mì Ý - Jollibee - Cộng Hòa,7.0,7.5,7.0,6.8,6.6,63,"15,000đ - 44,000đ",09:00 - 22:00,"Tầng Trệt, Tầng Trệt, Vincom Maximark Cộng Hòa, 15 -17 Cộng Hòa, P. 4 , Quận Tân Bình , TP. HCM",Lăng Cha Cả,Công Viên Hoàng Văn Thụ,Ngay trong Vincom Maximark Cộng Hòa,www.jollibee.com.vn,100 người lớn,08:30 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2012
4,Gà rán và Mì Ý - Jollibee - Hòa Hảo,6.1,6.4,6.1,6.0,5.7,53,"15,000đ - 44,000đ",09:30 - 21:00,"Tầng 3, Coopmart Lý Thường Kiệt, 497 Hòa Hảo, P. 7 , Quận 10 , TP. HCM",Sân Thống Nhất,Coop Mart Lý Thường Kiệt,Ngã 4 Hòa Hỏa - Lý Thường Kiệt,,100 người lớn,10:00 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 5 - 10 phút,"Ăn gia đình, Họp nhóm, Tiếp khách, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
5,Gà rán và Mì Ý - Jollibee - Hoa Sứ,5.8,6.2,6.0,5.3,5.3,41,"15,000đ - 44,000đ",09:00 - 22:00,"Tầng 2, Coopmart Rạch Miễu, 48 Hoa Sứ, P. 7 , Quận Phú Nhuận , TP. HCM",Miếu Nổi - Phan Xích Long,Khu chung cư Rạch Miễu,Tầng 2 Co.op Mart Rạch Miễu,,100 người lớn,08:30 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2011
6,Gà rán và Mì Ý - Jollibee - Nguyễn Thị Minh Khai,7.2,7.8,7.1,7.0,6.9,86,"20,000đ - 50,000đ",07:00 - 22:00,"Saigon Star Hotel, 204 Nguyễn Thị Minh Khai , Quận 3 , TP. HCM",Công Viên Tao Đàn,Ngã ba Nguyễn Thị Minh Khai - Bà Huyện Thanh Quan,Ngay góc ngã ba Nguyễn Thị Minh Khai - Bà Huyện Thanh Quan,,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 10 - 15 phút,"Ăn gia đình, Hẹn hò, Họp nhóm","Thịt Gà, Gà rán, Mì, Súp, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
7,Gà rán và Mì Ý - Jollibee - Trường Chinh,7.2,7.4,7.2,7.1,6.9,40,"20,000đ - 120,000đ","09:00 - 21:30
09:00 - 21:30","360 Trường Chinh , Quận Tân Bình , TP. HCM",ETown,Chợ Võ Thành Trang,Trên trục đường Trường Chinh rẽ vào hẻm 405 là gặp,,30 người lớn,09:00 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Ăn vặt, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
8,Gà rán và Mì Ý - Jollibee - Quốc Lộ 13,7.2,7.6,7.3,6.9,6.9,14,"15,000đ - 50,000đ",09:00 - 21:00,"68/1 Quốc Lộ 13, P. Hiệp Bình Chánh , Tp. Thủ Đức , TP. HCM",,Chợ Bình Triệu,Cách Chợ Bình Triệu khoảng 280m về Cân Nhơn Hòa,,50 người lớn,08:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 4 - 10 phút,"Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
9,Gà rán và Mì Ý - Jollibee - Phan Văn Trị,7.3,7.5,7.3,7.3,7.1,42,"3,000đ - 100,000đ",11:00 - 21:30,"Tầng 4, Vincom Gò Vấp, 12 Phan Văn Trị , Quận Gò Vấp , TP. HCM",Chợ Gò Vấp,Chợ Gò Vấp,Đối diện bến xe Phan Văn Trị.,,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Philippines",Khoảng 7 - 10 phút,"Ăn gia đình, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
