,Unnamed: 0,Likes,Dislikes,Views,Comments,Title,Category_id,Tags,Written_day,Written_time
0,0,21,,38655,1,"BỮA TRƯA SIÊU ĐÃ, GIÁ CẢ SIÊU HỜI",People & Blogs,,2022-11-14,23:06:57
1,1,36,,90928,1,GÀ XỐT NHẬT CHIKOYAKI – BÙNG NỔ CỰC CHILL!!!,People & Blogs,,2022-10-17,22:44:47
2,2,105,,42687,9,BỮA TRƯA GỌN GÀNG CÙNG COMBO BỮA TRƯA SIÊU HỜI!!,People & Blogs,,2022-08-09,18:00:03
3,3,88,,49852,8,KFC VIỆT NAM - 25 NĂM GIÒN RỤM ĐI MUÔN NƠI!,People & Blogs,,2022-07-07,19:01:48
4,4,345,,124821,20,"Gà Xốt Nướng Tokbokki – Bùng Vị Giác, Ngon Ngơ Ngác!!",People & Blogs,,2022-04-22,18:04:50
5,5,130,,22183,4,"NGON GIÒN TẬN CỬA, CỬA NÀO KFC CŨNG GIAO!",People & Blogs,,2022-04-21,16:54:30
6,6,55,,8257,1,"NGON GIÒN TẬN CỬA, CỬA NÀO KFC CŨNG GIAO!",People & Blogs,,2022-04-21,01:15:37
7,7,205,,86508,27,"ĂN HÀNH, ĂN BỤI, ĂN NĂN...MÀ SAO CHẲNG BIẾT TRƯA NAY ĂN GÌ?",People & Blogs,,2022-02-15,23:24:59
8,8,209,,70773,17,"NGON GIÒN TẬN CỬA, CÙNG ĐÓN NĂM MỚI",People & Blogs,,2022-01-04,17:24:24
9,9,244,,93210,8,"GÀ XỐT SẢ - THƠM NGON ĐẬM ĐÀ, VỪA QUEN VỪA LẠ",People & Blogs,,2021-12-09,18:53:13
10,10,379,,128524,22,"COMBO GÀ BƠ TỎI, VỊ NGẤT NGÂY, DEAL HOT MÊ SAY!",People & Blogs,,2021-07-07,03:20:57
11,11,285,,133947,21,"ĂN HÀNH, ĂN BỤI, ĂN NĂN... MÀ SAO CHẲNG BIẾT TRƯA NAY ĂN GÌ?",People & Blogs,,2021-06-24,05:35:46
12,12,599,,112333,30,“LẠC” VÀO XỨ TRUNG ĐÔNG CÙNG MÓN MỚI PITACO,People & Blogs,,2020-10-29,21:22:35
13,13,321,,68013,9,MĂM GÀ XỐT XANH - NHẢY THẬT PHONG CÁCH CÙNG KFC!,People & Blogs,,2020-09-29,23:39:58
14,14,318,,64302,14,"ĂN SANG CHỈ TỪ 35K, CHỌN LIỀN BỮA TRƯA TIẾT KIỆM KFC",People & Blogs,,2020-09-17,18:44:23
15,15,182,,61160,3,“BOM TẤN” KHÔNG CHỪA 1 AI,People & Blogs,,2020-09-14,16:01:06
